,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
10,"Senior Analyst- Research & Insights- Data Science, Data Analyst",₹5L - ₹8L (Glassdoor Est.),"Data analyst, Deloitte Health Equity Institute, Center for Health Solutions, Deloitte Services LP
Background:
Deloitte has launched a new social innovation organization called the Deloitte Health Equity Institute (DHEI). DHEI is a data-driven pro bono services, philanthropic, and knowledge development hub within Deloitte’s Center for Health Solutions (DCHS). DCHS is one of the industry research Centers under the Research and Insights (R&I) group.
DHEI draws on Deloitte’s array of capabilities to activate health equity across the United States, helping to realize our firm’s Purpose by moving the field for public good and advancing equitable health outcomes at scale.
CBG_RI",4.1,"Deloitte
4.1",Hyderābād,10000+ Employees,1850,Company - Private,Accounting & Tax,Finance,$10+ billion (USD)
11,Data Scientist,₹6L - ₹15L (Glassdoor Est.),"Aufgaben
Qualifications:
Advanced Python Knowledge.
Advanced time series forecasting modelling.
Experience with Object Oriented Programming in Python.
Experience with Machine Learning algorithms.
Fluent in English.
Proactive, good communicator, critical thinking, whole product view (not just feature development), aim for sustainability of the product, team player.

Responsibilities:",4.2,"Mercedes-Benz Research and Development India Private Limited
4.2",Bangalore,10000+ Employees,1886,Company - Public,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable
12,Data scientist - Battery models,₹6L - ₹15L (Glassdoor Est.),"Aufgaben
Data Scientist (Battery Modelling and Ageing )
About MBRDI
Mercedes-Benz Research & Development India Headquartered in Bengaluru was founded in 1996 as a captive unit to support Daimler’s research, IT and product development activities. We focus on topics ranging from computer-aided design and simulations (CAD, CAE) for powertrain, chassis and exteriors to embedded systems, telematics and developing various IT applications and tools. The satellite office in Pune specializes in interior component designs and IT engineering. It is now one of the largest global R&D centers outside Germany, employing more than 3000 + skilled engineers. It aims to partner closely with suppliers in India for its activities in product development and IT services.
""We are an equal opportunity employer and value diversity at our company"".
Job Description:
The position presents a unique opportunity to improve and transform the current state of art in the field of Battery Ageing Analytics. The ideal candidate will:
1. Work with the battery experts to identify the improvement areas in the current available techniques.
2. Provide quality solution design for the identified areas.
3. Transform the current state of Battery Ageing techniques using Machine Learning techniques.
4. Design methods to handle high volume of Data, data cleansing, processing, efficient storing.
5. Accelerate Data science Model Development and Model Management using cloud native solutions.
Expected Skills:
Level :: Advanced",4.2,"Mercedes-Benz Research and Development India Private Limited
4.2",Bangalore,10000+ Employees,1886,Company - Public,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable
13,Data Scientist,Employer Provided Salary:₹5L - ₹15L,"Technical skills:
Experience in R and/or Python.
Statistical modelling tools
Additional programming skills like Java and Scala would be a plus.
Relevant Experience & Duties:
Build data sets to empower operational and exploratory analysis of data to transform data into information and ‘data for action’.
Design and implement reporting and metrics that track and monitor the performance, quality and overall outcome of various public health program in communicable and noncommunicable diseases.",5.0,"Datrax Services Pvt Ltd
5.0",Mumbai,1 to 50 Employees,2019,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
14,Junior Data Scientist,Employer Provided Salary:₹2L,"Designation:
Data Scientist Jr. level
Expected start date in team:
1 Dec. 2022
Hiring Team:
Data Science team
Count of open positions:
3",-1,Flairmid Software Pvt Ltd,Pune,-1,-1,-1,-1,-1,-1
15,"Manager – Data Analytics & Scientific Computing @ L'Oreal, R&I, Mumbai",₹2L - ₹6L (Glassdoor Est.),"L'Oréal Research & Innovation might be exactly the place you have always been looking for !

For more than hundred years, L’Oréal believes that beauty needs Science. In a world now transformed by digital technology and the emergence of new scientific Domains, we are confident in our ability to turn these opportunities into major innovations, closely linked to the new consumer expectations all over the world. Science & Technology are allowing us to invent safe, trustable, sustainable & responsible beauty products and experiences that will change people’s lives.
L’Oréal R&I has continuously invested upstream in its research with a high level of ambition. Our 4000 L'Oréal R&I people are talented and highly skilled, located in major markets, working in a cooperative way, opened to the world.
India –",3.9,"L'Oreal
3.9",Mumbai,10000+ Employees,1909,Company - Private,Consumer Product Manufacturing,Manufacturing,$2 to $5 billion (USD)
16,"Data & Analytics Analyst, AVP",₹6L - ₹14L (Glassdoor Est.),"Our people work differently depending on their jobs and needs. From home working to job sharing, visit the remote and flexible working page on our website to find out more.
This role is based in India and as such all normal working days must be carried out in India.
Join us as a Data & Analytics Analyst, AVP
This is an opportunity to take on a purpose-led role in a cutting edge Data & Analytics team
You’ll be consulting with our stakeholders to understand their needs and identify suitable data and analytics solutions to meet them along with business challenges in line with our purpose
You’ll bring advanced analytics to life through visualisation to tell powerful stories and influence important decisions for key stakeholders, giving you excellent recognition for your work",3.9,"NatWest Group
3.9",Gurgaon,10000+ Employees,1727,Company - Public,Banking & Lending,Finance,$10+ billion (USD)
17,Machine Learning Engineer,Employer Provided Salary:₹7L - ₹15L,"We are looking for a passionate Machine Learning Engineer who will be responsible for adding machine learning based analytics features to our scalable SaaS products.
Job Details:
Job Title: Machine Learning Engineer
Experience Required: 2-6 years
Location: Baner, Pune / [Fully Remote]
Qualification: Bachelor’s degree in Computer Science, Engineering or related discipline
What we expect:",-1,Finarkein Analytics Pvt. Ltd.,Pune,-1,-1,-1,-1,-1,-1
18,Data Scientists,-1,"People at Xtage Labs are often looked at the intersection of machine and humans. Conversations involve data and how our work impact businesses bringing data science as a competitive advantage for our clients. The primary force shaping Xtage Labs is not simply technological innovation - but also how we could use data science to improve decision making and bring out improvements in businesses, human lives and deep social changes.
To enable this, we rely on our team. And we are on a perpetual lookout of like-minded individuals who value relationships and see the workplace as an extension of their personal self aligning with the mission and vision that Xtage Labs has been founded upon. We are an equal opportunity employer, irrespective of gender, religion, ethnicity and race. As long as you bring a unique perspective to the work we do, we would love to hear from you.
We are always on the lookout for Data Scientists with following qualification:",3.7,"Xtage Labs
3.7",India,1 to 50 Employees,Company - Private,Unknown / Non-Applicable,-1,-1,-1
19,Data Science,₹3L - ₹19L (Glassdoor Est.),"India
Corporate services, infrastructure and facilities
Group Functions
Job Reference #
229109BR
City
Mumbai
Job Type
Full Time",3.9,"UBS
3.9",Mumbai,10000+ Employees,1862,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD)
20,Data scientist,₹2L - ₹7L (Glassdoor Est.),"Job Summary
Do you think working for a growing start-up is intriguing?
Is solving challenging problems in a fast-paced environment exciting to you?
Do you like wearing multiple (proverbial) hats?
Do you know the third, fourth and fifth decimal place for ?
Are you comfortable working with large and complex datasets?
If you answered “YES” to the above questions, read on …
Truview was founded to solve a key gap of services for e-commerce companies – we help ecommerce companies identify revenue growth opportunities and help save costs . Unlike larger firms that provide limited roles for every team member, we model our team so that every member gets to take a project from idea to execution. You get to wear many hats and get to be hands on for a variety of technology.",4.8,"Tru View
4.8",Mumbai,51 to 200 Employees,1995,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
21,Machine Learning Intern,Employer Provided Salary:₹15T - ₹20T,"Key Responsibilities:

Understanding business objectives and developing models that help to achieve goals, along with metrics to track their progress
Verifying data quality, and/or ensuring it via data cleaning
Supervising the data acquisition process if more data is needed
Defining validation strategies
Defining the preprocessing or feature engineering to be done on a given dataset
Defining data augmentation pipelines
Training models and tuning their hyperparameters",4.9,"FullThrottle Labs
4.9",Bangalore,1 to 50 Employees,2018,Company - Private,Computer Hardware Development,Information Technology,Less than $1 million (USD)
22,Machine Learning Intern,-1,"Key Responsibilities:

Understanding business objectives and developing models that help to achieve goals, along with metrics to track their progress
Verifying data quality, and/or ensuring it via data cleaning
Supervising the data acquisition process if more data is needed
Defining validation strategies
Defining the preprocessing or feature engineering to be done on a given dataset
Defining data augmentation pipelines
Training models and tuning their hyperparameters",-1,"FullThrottle Labs
4.9",Bangalore,-1,-1,-1,-1,-1,-1
23,Data Analytics,Employer Provided Salary:₹6L - ₹14L,"We are Indias leading political consulting organization, dedicated to providing high quality professional support for political campaigns. In this capacity, we have been fortunate to be a part of the momentous election campaigns of 2014, 2019 and various other state elections. Our work includes envisioning and executing innovative electioneering campaigns, facilitating capacity building of grassroots cadre and shaping governance. We add professional aspects to the strengths of the scores of grassroots workers and ensure optimal electoral results.
We are a diverse group of dedicated individuals including former management consultants, lawyers, engineers, political theorists, public policy professionals and other people from varied sectors from premier institutes and corporates, with the unified objective of meaningfully contributing to the polity of the nation.
Data plays an important role in the work that we do here at Nation with Namo. We are looking for a data analyst who is keen on solving problems from first principles and provides insights and actionables to the team.",4.3,"Nation with NaMo
4.3",Delhi,201 to 500 Employees,Company - Private,Colleges & Universities,Education,Unknown / Non-Applicable,-1
24,Junior Data Scientist Mentor,Employer Provided Salary:₹3L - ₹5L,"Training the students in online learning
doubt solvings
software Installation help
Helping them one on one difficult topics
assignment review and grading
Managing studnet LMS and Portfolio
Helping senior trainers in batch management
Notes and Assignments forming
Documentation
Creating Ppts and notes for students
Interview preparation help to students
Overall Objective is to make learners successful",-1,Success Arrow,Pune,-1,-1,-1,-1,-1,-1
25,Head of Data Analytics,-1,"• Build a world-class data analytics practice for the organization in the areas of business intelligence, data analytics and data science. • Conceptualise and drive the data analytics strategy of the Company • Implement and maintain capabilities, technical architecture and processes to solve critical business problems and support decisions in a data-driven way • Oversee the company’s data assets with the goal to generate maximum insights and unlock value • Implement an analytical data warehouse, data visualisation and reporting tools • Work closely with all functions to identify key business metrics and automate MIS reporting • Apply statistical analysis, data science and machine learning technologies for optimising business processes such as lead generation, credit risk, fraud detection, collections and customer value maximisation • Work with Technology team to drive availability of relevant data, tools and infrastructure. • Create and oversee processes for data protection and data governance • Identify relevant vendors / solutions and maintain relationships",4.5,"SelFin India Financial Services
4.5",Mumbai,51 to 200 Employees,Company - Public,Unknown / Non-Applicable,-1,-1,-1
26,Data Scientist Intern,-1,"A Natural Language Processing (NLP) expert with strong computer science fundamentals and experience in working with deep learning frameworks. You will be working at the cutting edge of NLP and Machine Learning.
Roles and Responsibilities
Work as part of a distributed team to research, build and deploy Machine Learning models for NLP.
Mentor and coach other team members
Evaluate the performance of NLP models and ideate on how they can be improved
Support internal and external NLP-facing APIs
Keep up to date on current research around NLP, Machine Learning and Deep Learning",-1,Brimming Grace Capital Pvt Ltd,Gurgaon,-1,-1,-1,-1,-1,-1
27,Data Science Training,Employer Provided Salary:₹10T - ₹45T,"We are providing Traning for Data Science. After the training we will hire the candidates as performance wise.
After the training we will providing experience certificates and also we will provide some certifications.
We are looking for freshers candidates.
Both Male and Female Candidates can apply.
Job Types: Fresher, Internship, Full-time, Part-time
Salary: ₹10,000.00 - ₹45,000.00 per month",-1,Oracuz Infotech Pvt Ltd,Thiruvananthapuram,-1,-1,-1,-1,-1,-1
28,Data Science Intern,Employer Provided Salary:₹7T,"Learn data science
data science with python
daily new assignment
trainer will provide
Job Types: Full-time, Internship
Contract length: 2 months
Salary: From ₹7,000.00 per month
Schedule:",5.0,"Paarsh Infotech
5.0",Nashik,Unknown,Company - Public,Unknown / Non-Applicable,-1,-1,-1
29,Associate Data Scientist,-1,"Shape Your Future With Us
General Re Corporation, a subsidiary of Berkshire Hathaway Inc., is a holding company for global reinsurance and related operations, with more than 2,000 employees worldwide. It owns General Reinsurance Corporation and General Reinsurance AG, which conducts business as Gen Re.
Gen Re delivers reinsurance solutions to the Life/Health and Property/Casualty insurance industries. Represented in all major reinsurance markets through a network of more than 40 offices, we have earned superior financial strength ratings from each of the major rating agencies.
Our Life Global Underwriting & R&D is seeking to appoint a suitably qualified Associate Data Scientist to work in our Mumbai office.



If you want to shape your future with us, we look forward to receiving your application via our website Gen Re.",3.4,"Gen Re
3.4",Mumbai,501 to 1000 Employees,1846,Unknown,Insurance Carriers,Insurance,Unknown / Non-Applicable
30,Data scientist,₹2L - ₹5L (Glassdoor Est.),"Roles and responsibilities:
1. Data processing, cleaning and validating the integrity of data to be used for analytics

2. Data extraction using valuable data sources

3. Perform initial investigation and exploratory data analysis

4. Analyzing large amount of data to find patterns and solution

5. Build predictive machine learning models using alogorithms like regression, tree based, boosting etc

6. Develop econometric and statistical models for various problems including projections, classification, clustering, pattern analysis, sampling, simulations, and so forth.

7. Propose solutions and strategies to tackle complex business problems",4.4,"ICICI Prudential Life
4.4",Mumbai,10000+ Employees,2001,Private Practice / Firm,Insurance Carriers,Insurance,$10+ billion (USD)
31,"Data Engineer, Machine Learning",Employer Provided Salary:₹2L - ₹3L,"We are looking Only Freshers candidates. B tech/ BE( Computer science Only please) MCA, ME, M Tech.
Must knowledge about Python.
Don't Apply if you don't have these degree.
Job Type: Full-time
Salary: ₹240,000.00 - ₹320,000.00 per year
Schedule:
Day shift",-1,Predictive Research,Bangalore,-1,-1,-1,-1,-1,-1
32,Data Science Intern,Employer Provided Salary:₹5T,"Working on python, sql and making technical documentation
Working on projects and developing part
Co ordinating with cleints on technical queirs
Helping team in developing new contents in ML
working on clouds like GCP, AWS and Azure.
candidates must be quick learner
Job Types: Full-time, Regular / Permanent
Salary: From ₹5,000.00 per month
Schedule:",-1,prwatech technologies,Pune,-1,-1,-1,-1,-1,-1
33,Data Scientist,Employer Provided Salary:₹692.31 - ₹923.08 Per Hour,"required data science faculty on urgent basis .Interested call on 8264865747 as soon as possible.
Job Types: Full-time, Part-time, Regular / Permanent, Freelance, Volunteer, Fresher
Salary: ₹600.00 - ₹800.00 per hour
Benefits:
Flexible schedule
Schedule:
Flexible shift",-1,Pioneer Academy,Ludhiana,-1,-1,-1,-1,-1,-1
34,Data Scientist,Employer Provided Salary:₹80T,"JD for Data Scientist Responsibilities & Skills · PhD in Statistics, Math or Computer Science is preferred. Must have at least a Master degree with 5+ years of experience. · Excellent statistical analysis skills to identify patterns in data. This includes having a keen sense of pattern detection and anomaly detection. · Excellent understanding of machine learning techniques and algorithms, such as k-NN, · Naive Bayes, SVM, Decision Forests, etc. · Must be able to implement algorithms and statistical concepts to build predictive models. · In-depth experience with common data science tools such as TensorFlow, PyTorch or equivalent. · Proficient in programming with python, SQL and No-SQL databases; and data science libraries such as nltk, numpy, scipy and many others · Communicate with global English speaking teams. · Expertise in collaborating with multi-disciplinary teams of business analysts, data scientists, subject matter experts, and developers For more information Contact HR Ranjini 7760520330
Job Type: Full-time",-1,Trovech Infotech Pvt Ltd,Bangalore,-1,-1,-1,-1,-1,-1
35,Data Science Intern,Employer Provided Salary:₹9T - ₹18T,"data science interns assist data scientists in collecting, analyzing, and interpret data sets to drive optimization and improvement of product development. As a part of the company's trainees, data science interns are required to provide help in developing custom data models and algorithms to apply to data sets.
Job Type: Full-time
Salary: ₹9,172.50 - ₹17,778.69 per month
Schedule:
Monday to Friday
Ability to commute/relocate:",-1,Tanishq Enterprises pvt ltd,Pune,Unknown,Company - Public,Unknown / Non-Applicable,-1,-1,-1
36,Data Scientist Intern,-1,"Binance is the global blockchain company behind the world’s largest digital asset exchange by trading volume and users, serving a greater mission to accelerate cryptocurrency adoption and increase the freedom of money.

Are you looking to be a part of the most influential company in the blockchain industry and contribute to the crypto-currency revolution that is changing the world?

Data driven based business is the core in helping to use cloud native platform to serve tens of millions of crypto-currency users. Engineers and Data Scientists across the company use the data platform to do interesting and impactful analysis for continuous innovations.

As a data scientist, you will have the opportunity to leverage rich data (PB-level scalability) and state-of-art machine learning infrastructure to develop data products which are used by our tens of millions of crypto-currency users.",3.6,"Binance
3.6",Mumbai,5001 to 10000 Employees,2017,Company - Private,Internet & Web Services,Information Technology,$2 to $5 billion (USD)
37,Data Scientist Climate Analytics,₹8L - ₹24L (Glassdoor Est.),"The Role:
The person on this role will focus on study of climate change impact on agriculture / wind / wildfire risk as part of WTW’s Climate and Resilience Hub (CRH), including:
Development and assessment of climate change impacts on key climate perils such as wind and wildfire, as well as on the agricultural sector.
Evaluation of wind / wildfire hazard profiles from scientific research and vendor models
Development of in-house qualitative and quantitative risk assessment tools/methodologies
The person will also be providing high quality consulting and technical services to our corporate and financial sector clients across the world, collaborating with colleagues across global hubs.",3.9,"WTW
3.9",Thāne,10000+ Employees,1828,Company - Public,Business Consulting,Management & Consulting,$10+ billion (USD)
38,Data scientist - Lead,₹2L - ₹5L (Glassdoor Est.),"Roles and responsibilities:
1. Data processing, cleaning and validating the integrity of data to be used for analytics

2. Data extraction using valuable data sources

3. Perform initial investigation and exploratory data analysis

4. Analyzing large amount of data to find patterns and solution

5. Build predictive machine learning models using alogorithms like regression, tree based, boosting etc

6. Develop econometric and statistical models for various problems including projections, classification, clustering, pattern analysis, sampling, simulations, and so forth.

7. Propose solutions and strategies to tackle complex business problems",4.4,"ICICI Prudential Life
4.4",Mumbai,10000+ Employees,2001,Private Practice / Firm,Insurance Carriers,Insurance,$10+ billion (USD)
39,Data scientist - Lead,-1,"Roles and responsibilities:
1. Data processing, cleaning and validating the integrity of data to be used for analytics

2. Data extraction using valuable data sources

3. Perform initial investigation and exploratory data analysis

4. Analyzing large amount of data to find patterns and solution

5. Build predictive machine learning models using alogorithms like regression, tree based, boosting etc

6. Develop econometric and statistical models for various problems including projections, classification, clustering, pattern analysis, sampling, simulations, and so forth.

7. Propose solutions and strategies to tackle complex business problems",-1,"ICICI Prudential Life
4.4",Mumbai,-1,-1,-1,-1,-1,-1
40,Artificial Intelligence Internship,Employer Provided Salary:₹12T,"About Company: Evolve Robot Lab is the India's first robot innovation lab for Robotics Engineering & Artificial Intelligence Solution.
Robotics research company"", with the grand vision to improve the quality of life in the very part of India with various deep tech solutions.
Who we are: Robotics start-up with young creative team based out of Madras, Tamilnadu We are making affordable robotics product for both industrial & military application.
Our Edu-Tech training facilitate to inspire & educate the next 10 million young generation of innovators, engineers, scientist & artists in the field of Robotics.
Our specialization :",-1,Evolve robot Lab,India,-1,-1,-1,-1,-1,-1
