,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
17,Data Scientist,-1,"Looking for a Machine Learning (ML) Engineer to help us create artificial intelligence products.
Machine Learning Engineer responsibilities include creating machine learning models and retraining systems. To do this job successfully, you need exceptional skills in statistics and programming. If you also have knowledge of data science and software engineering, we’d like to meet you. Your ultimate goal will be to shape and build efficient self-learning applications.
Responsibilities
Study and transform data science prototypes
Design machine learning systems
Research and implement appropriate ML algorithms and tools",-1,Niqx Informatics and Analysis Pvt Ltd,Mumbai,Unknown,Company - Public,Unknown / Non-Applicable,-1,-1,-1
18,Data Scientist,-1,"ROLES AND RESPONSIBILITIES * Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions. * Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies. * Assess the effectiveness and accuracy of new data sources and data gathering techniques. * Develop custom data models and algorithms to apply to data sets. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. SKILLSET REQUIRED * Strong problem-solving skills with an emphasis on product development. * Experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets. * Experience working with and creating data architectures. * Knowledge of statistical techniques and concepts is preferred (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications. * Excellent written and verbal communication skills for coordinating across teams. * A drive to learn and master new technologies and techniques. CANDIDATE MUST HAVE * R, Python, SQL * Data architectures.",-1,Hellowork Technologies Pvt Ltd,Mumbai,Unknown,Company - Public,Unknown / Non-Applicable,-1,-1,-1
19,Quant Analytics- Data and Analytics- Python,"₹2,64,472 /yr (est.)","Job Overview

This is a unique opportunity for a highly skilled data scientist to have a meaningful impact on a large scale at one of America's leading financial services firms. In this role, you will join the Distribution and Geospatial Data Science team within CB Decision Sciences. This role will help continue driving optimization and growth across Chase's retail network which has grown tremendously over the last several years to serve customers across the contiguous 48 states. We're very proud of the work we do to make banking more accessible to communities and wouldn't have been able to do this without the people developing and executing upon analytic solutions across the firm.

In this role, you'll have the chance to leave your mark as part of a team that's working hard to deliver analytics solutions that will guide Chase's distribution network into its next phase of growth and optimization. From day one, you'll partner with teammates and stakeholders to deliver on high impact analytic initiatives that will support multi-million-dollar decisions. Initially this role will focus on partnering across Consumer and Community Banking to gather business requirements, perform data collection and exploration, provide analytic support for data and spatial science modeling efforts, and guide stakeholders on implementation and execution. You'll have the opportunity to work on analytic solutions from start to finish and will be able to see the impact of your work in near real time.",3.8,"JPMorgan Chase Bank, N.A.
3.8",Bangalore,10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD)
20,Data Scientists,"Size
201 to 500 Employees
Founded
2006
Type
Company - Private
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
Unknown / Non-Applicable","Benefits
Our compensation and benefits packages differ from country to country in accordance with local preferences and legislation :
Equal Employment Opportunity : We comply with all applicable laws prohibiting discrimination or harassment against any applicant or employee.
Competitive salary packages & benefits : We are continually monitoring and evaluating our salary structure in line with the industry standards to ensure we remain competitive in each of our countries. We offer comprehensive packages with a range of other benefits offered locally.
Recognition and Reward programs
Retirement Benefits",3.8,"Covalense Global
3.8",Remote,201 to 500 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
21,Data Scientist,-1,"1. Responsible for designs and development of enterprise-wide Data Science/Data Analytics applications using Python and SQL.
2. Responsible for participating in all stages of the development life cycle including requirements analysis, design, development, testing, and implementation.
3. Coordinates with US software architects for overall design and standards
4. Coordinates with US business stakeholders to ensure requirements are being met
5. Should be adaptable to US time zone whenever required to have meetings with onshore counterparts.
6. Deep experience working on Agile teams and extensive familiarity with all Agile ceremonies.",4.3,"MNR Solutions
4.3",Noida,51 to 200 Employees,2007,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
22,Junior Data Scientist,"Size
51 to 200 Employees
Founded
2015
Type
Company - Private
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
$1 to $5 million (USD)","Job Information
Industry
IT Services
Work Experience
1-3 years
Remote Job
Job Description",4.8,"Marktine Technology Solutions
4.8",Remote,51 to 200 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD)
23,Data Scientist,"₹8,53,015 /yr (est.)","Job Description:

JOB TITLE:- Data Scientist

WORK LOCATION:- Navi Mumbai

Key Responsibilities:
Should have strong hands-on experience in statistical/Predictive Modeling.
Should have strong hands-on experience in Data Preparation.",3.8,"AxionConnect
3.8",Mumbai,51 to 200 Employees,2011,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
24,Experienced Data Scientist,"₹19,74,842 /yr (est.)","At Boeing, we innovate and collaborate to make the world a better place. From the seabed to outer space, you can contribute to work that matters with a company where diversity, equity and inclusion are shared values. We’re committed to fostering an environment for every teammate that’s welcoming, respectful and inclusive, with great opportunity for professional growth. Find your future with us.
Overview
Boeing is the world’s largest (Per Boeing LinkedIn page) aerospace company and a leading provider of commercial airplanes, defense, space, and security systems, and global services. Building on a legacy of over a century of innovation and leadership, Boeing continues to lead the way in technology and innovation, customer delivery, and investment in its people and future growth of aerospace.",3.8,"BOEING
3.8",Bangalore,10000+ Employees,1916,Company - Public,Aerospace & Defence,Aerospace & Defence,$10+ billion (USD)
25,Data Scientist,-1,"Edureka Learning Center, Satellite, Ahmedabad
Looking for python, tensorflow, Keras, tableau Training Course Faculty
4 months batch / 2 Hours Daily
Hourly Pay / Monthly Pay / Per batch Pay
Learning Course Material is online
Faculty required for Query /Doubt solution / Fundamentals Clarity
Part time / Hourly / Full Time all options available
Job Types: Full-time, Part-time",-1,Edureka Learning Center -Ahmedabad,Ahmedabad,-1,-1,-1,-1,-1,-1
26,Data Engineer (Python data science)- Contract Staff,-1,"Position: Data Engineer (Python data science libraries)- Contract Staff
Location: Remote, Pune
Experience: 1-3 year
Industry: IT
· Well versed with Python data science libraries ( Pandas, Numpy, Spacy etc)
· Understanding of at-least 1 Python web framework ( Django, Flask, FastAPI etc.)
· Comfortable with relational & No SQL databases (exposure to Graph DBs a plus)
· Solid mathematical concepts in statistics and statistical learning",5.0,"Glan Solutions
5.0",Pune,1 to 50 Employees,2009,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
27,DATA SCIENTIST,-1,"Responsibilities
Enhancing data collection procedures to include information that is relevant for building analytic systems

Processing, cleansing, and verifying the integrity of data used for analysis

Doing ad-hoc analysis and presenting results in a clear manner & Creating automated anomaly detection systems and constant tracking of its performance",-1,Pulp Innovations,Vadodara,-1,-1,-1,-1,-1,-1
28,Data Scientist,"₹6,16,622 /yr (est.)","About PayU
PayU, a leading payment and Fintech company in 50+ high-growth markets throughout Asia, Central and Eastern Europe, Latin America, the Middle East and Africa, part of Prosus group, one of the largest technology investors in the world is redefining the way people buy and sell online for our 300.000+ merchants and millions of consumers.

As a leading online payment service provider, we deploy more than 400 payment methods and PCI-certified platforms to process approximately 6 million payments every single day.

Thinking of becoming a PayUneer and you are curious to know more about us? Read more about the life in PayU here

Role: Data Scientist
Location preference: Mumbai / Bangalore",4.1,"PayU
4.1",Bangalore,1001 to 5000 Employees,2002,Company - Private,Internet & Web Services,Information Technology,$10+ billion (USD)
29,NLP Engineer,-1,"Job Title - AI NLP Engineer
Qualification - CDAC Engineering Degree
Experience - 2- 10 yrs
Salary - depends on current CTC
Notice Period- 15 days- 1 months
Expert in python, Experience in Neural Network, NLP, AI, Remuneration and Commensurate
Work From Home
Job Type: Full-time
Salary: Up to ₹2,000,000.00 per year",-1,iQuest,Pune,Unknown,Company - Public,Unknown / Non-Applicable,-1,-1,-1
30,Business Analyst (Analytics),"₹4,37,115 /yr (est.)","About 24-7 Intouch
24-7 Intouch is a global customer care and technology company that provides value-driven, future-forward solutions. For over 20 years, we have been the people and technology behind the world’s biggest brands, empowering human potential through our artificial intelligence division, Laivly, and driving change for our client partners through actionable insights and analytics.
For more on our culture, follow the link to Our Story - https://youtu.be/a6CvsUKYN8g

About the Job",3.5,"24-7 Intouch
3.5",Hyderābād,10000+ Employees,2000,Company - Private,HR Consulting,Human Resources & Staffing,$100 to $500 million (USD)
31,Business Analyst (Analytics),"Size
10000+ Employees
Founded
2009
Type
Company - Public
Industry
Internet & Web Services
Sector
Information Technology
Revenue
$10+ billion (USD)","About the Role

The Discovery is responsible for the end-to-end experience of the Feed and Search surfaces on the UberEats app. The group's mission is to build a reliable, scalable, and personalized platform to enable effortless discovery of food, groceries, pharmacy, and other verticals for consumers everywhere. As the world moves towards high adoption of delivery services, we believe that effortless discovery will be one of the biggest product differentiators in the years to come.

The group owns and operates business-critical backend services, search engines, knowledge graphs and several machine learning models, and hundreds of data pipelines that feed and monitor the models.

What the Candidate Will Need / Bonus Points


- Basic Qualifications -",4.4,"24-7 Intouch
3.5",Hyderābād,10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
32,"Data Science Instructor - Part-Time, Bloom Institute of Technology (BloomTech) (Remote) - $30,000/year USD","Size
201 to 500 Employees
Founded
2014
Type
Company - Private
Industry
HR Consulting
Sector
Human Resources & Staffing
Revenue
Unknown / Non-Applicable","Are you an expert data scientist? Are you ready to teach a new generation of data scientists and analysts? Join us at BloomTech!
Bloom Institute of Technology (BloomTech) is looking for part-time data science professionals to teach in an immersive, live, online classroom. You will set your schedule, choosing the weekly classes that work for your life.
You will focus on teaching our Data Engineering course. In this role, you'll instruct learners on how to interact and work with software engineers, derive insights from raw data using SQL, NoSQL, and other databases, and what the cloud is and how to deploy it during productization.
BloomTech is committed to the success of our students, to the extent that they don’t pay tuition until they secure a job. This unparalleled commitment to employability requires the best instructors to prepare them.",3.3,"Crossover
3.3",Remote,201 to 500 Employees,2014,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
33,Data Scientist,-1,"required data science faculty on urgent basis .Interested call on 8264865747 as soon as possible.
Job Types: Full-time, Part-time, Regular / Permanent, Freelance, Volunteer, Fresher
Salary: ₹600.00 - ₹800.00 per hour
Benefits:
Flexible schedule
Schedule:
Flexible shift",-1,Pioneer Academy,Ludhiana,-1,-1,-1,-1,-1,-1
34,Data Scientist Associate,"₹3,26,375 /yr (est.)","Data Scientist Associate - CIB Payments Data and Analytics

J.P. Morgan's Corporate & Investment Bank (CIB) is a global leader in Banking. The world's corporations, governments and institutions entrust us with their business in more than 100 countries. The Corporate & Investment Bank supports our clients around the world providing strategic advice, raising capital and managing risk.

J.P. Morgan Payments is one of the world's largest providers of treasury management and merchant services. Wholesale Payments sits at the intersection of finance and technology and is one of the largest players (processing $6 trillion of payments a day) in an industry undergoing a major transformation. Merchant Services is the global payment acceptance and merchant acquiring business of JPMorgan Chase & Co. Merchant Services is a leading provider of payment, fraud management and data security solutions, capable of authorizing transactions in more than 130 currencies. The company's proprietary platforms provide integrated commerce solutions for all major credit and debit card payments as well as mobile payments. Merchant Services has uniquely combined proven payment technology with a long legacy of merchant advocacy that creates quantifiable value for ecommerce companies. Merchant Services is the #1 Merchant Acquirer Worldwide, based on volume, by The Nilson Report in April 2016.

The Payments Data and Analytics team is responsible for defining and executing the multi-year global analytics strategy and roadmap. We are a new and rapidly growing team of change agents inside J.P. Morgan. We are data scientists, design strategists, and business leaders creating and building data products that transform the way we and our clients do business - balancing the art of decision making with science. What we build matters and will have huge impact; our products and solutions will reach thousands of our clients around the world, and affect how J.P. Morgan does business, moving trillions of dollars a day.

New technologies, analytics and business models are emerging with the potential to radically transform financial services. You will be at the leading edge inside the company driving change.

is responsible for executing big data analytics projects in response to product innovation for Merchant Services. Tangible output of the programs are payments insights that drive optimization of authorization, chargeback and cost of payments for large merchants - as well as deep consumer and business insights. As the analytics mature, these insights can be productized into products for merchants (""insights as a service"").

The right candidate for this position is of course highly proficient with managing complex data sets, using modern statistical and data exploration practices and creating insightful visualizations (especially SQL on Hadoop, Tableau, python). But you are also curious and creative, having the ability to organize stakeholder problems into clear business objectives for which you can create analytics solutions that deliver immediate value. You have a strong desire to get your ideas off the drawing board, preferring to quickly develop prototypical solutions that you can hone and improve in collaboration with team mates and stakeholders. You're comfortable reaching out to subject matter experts to build your business knowledge and grow your understanding of pain points that represent analytic opportunities. You love a big challenge and are willing to learn new skills if needed to get the job done. And you're excited to develop subject matter expertise in a world-class payments organization and help develop the innovative analytics for the future of end-to-end payment optimization.",3.8,"JPMorgan Chase Bank, N.A.
3.8",Mumbai,10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD)
35,Data Scientist,"Size
1 to 50 Employees
Founded
2021
Type
Company - Private
Industry
Internet & Web Services
Sector
Information Technology
Revenue
$1 to $5 million (USD)","Job Description
This is a remote position.
At Ataloud, We are lookign for Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights.


In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.",5.0,"Ataloud Technologies
5.0",Remote,1 to 50 Employees,2021,Company - Private,Internet & Web Services,Information Technology,$1 to $5 million (USD)
36,Head of Data Analytics,"Size
51 to 200 Employees
Type
Company - Public
Revenue
Unknown / Non-Applicable","• Build a world-class data analytics practice for the organization in the areas of business intelligence, data analytics and data science. • Conceptualise and drive the data analytics strategy of the Company • Implement and maintain capabilities, technical architecture and processes to solve critical business problems and support decisions in a data-driven way • Oversee the company’s data assets with the goal to generate maximum insights and unlock value • Implement an analytical data warehouse, data visualisation and reporting tools • Work closely with all functions to identify key business metrics and automate MIS reporting • Apply statistical analysis, data science and machine learning technologies for optimising business processes such as lead generation, credit risk, fraud detection, collections and customer value maximisation • Work with Technology team to drive availability of relevant data, tools and infrastructure. • Create and oversee processes for data protection and data governance • Identify relevant vendors / solutions and maintain relationships",4.5,"SelFin India Financial Services
4.5",Mumbai,51 to 200 Employees,Company - Public,Unknown / Non-Applicable,-1,-1,-1
37,Data Science Intern,-1,"data science interns assist data scientists in collecting, analyzing, and interpret data sets to drive optimization and improvement of product development. As a part of the company's trainees, data science interns are required to provide help in developing custom data models and algorithms to apply to data sets.
Job Type: Full-time
Salary: ₹9,172.50 - ₹17,778.69 per month
Schedule:
Monday to Friday
Ability to commute/relocate:",-1,Tanishq Enterprises pvt ltd,Pune,Unknown,Company - Public,Unknown / Non-Applicable,-1,-1,-1
38,Data Science,"₹5,51,234 /yr (est.)","Responsibilities
• Anchor ML development track in a client project • Data collection, profiling, EDA & data preparation • AI Model development, experimentation, tuning & validation • Present findings to business users & project management teams • Propose ML based solution approaches & estimates for new use cases • Contribute to AI based modules in Infosys solutions development • Explore new advances in AI continuously and execute PoCs • Mentoring – guide junior team members & evangelize AI in organization
Additional Responsibilities:
• Good verbal & written communication skills – articulate value of AI to business, project managers & other team members • Ability to break complex problem into smaller problems and create hypothesis • Innovation and experimentation
Technical and Professional Requirements:
• Programming: Python, R, SQL • ML algorithms: o Statistical ML algorithms o Deep Neural Network architectures o Model ensembling o Generative AI models o ML for Responsible AI • AI domains - NLP, speech, computer vision, structured data • Learning patterns – supervised, unsupervised, reinforcement learning • Tools for data analysis, auto ML, model deployment & scaling • Knowledge of datasets, pre-built models available in open community and 3rd party providers • Knowledge of software development & architectures • Knowledge of hyperscalers & their AI capabilities – Azure, AWS, GCP
Preferred Skills:
Python,Artificial Intelligence->Python ML,Machine Learning->Data Science,Artificial Intelligence->NLP Deep Learning Algorithms,Bigdata->Pyspark
Educational Requirements
Bachelor of Engineering",3.9,"Infosys Limited
3.9",Bangalore,10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
39,Machine Learning Engineer,-1,"Job Title:
Senior ML Engineer
Department/Group:
Research
Position Type:
Permanent
Location:
Mumbai
Date Posted:
05/08/2022
Starting:
Immediate
Work Model:
Hybrid (May become permanent on-site in ’23)
Job DescriptionRole and Responsibilities
To build, tune and deploy ML models based on business requirements.
Required Skills",-1,BrandLock LLC,Mumbai,-1,-1,-1,-1,-1,-1
