Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,employer_provided_salary,min_salary,max_salary,avg_salary,company_text,company_age,python_yn,R_yn,sql_yn,excel_yn
Data scientist,₹2L - ₹7L (Glassdoor Est.),"Job Summary
Do you think working for a growing start-up is intriguing?
Is solving challenging problems in a fast-paced environment exciting to you?
Do you like wearing multiple (proverbial) hats?
Do you know the third, fourth and fifth decimal place for ?
Are you comfortable working with large and complex datasets?
If you answered “YES” to the above questions, read on …
Truview was founded to solve a key gap of services for e-commerce companies – we help ecommerce companies identify revenue growth opportunities and help save costs . Unlike larger firms that provide limited roles for every team member, we model our team so that every member gets to take a project from idea to execution. You get to wear many hats and get to be hands on for a variety of technology.",4.8,"Tru View
4.8",Mumbai,51 to 200 Employees,1995,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,2 , 7 ,4.5,"Tru View
",27,0,1,0,0
Machine Learning Intern,Employer Provided Salary:₹15T - ₹20T,"Key Responsibilities:

Understanding business objectives and developing models that help to achieve goals, along with metrics to track their progress
Verifying data quality, and/or ensuring it via data cleaning
Supervising the data acquisition process if more data is needed
Defining validation strategies
Defining the preprocessing or feature engineering to be done on a given dataset
Defining data augmentation pipelines
Training models and tuning their hyperparameters",4.9,"FullThrottle Labs
4.9",Bangalore,1 to 50 Employees,2018,Company - Private,Computer Hardware Development,Information Technology,Less than $1 million (USD),1,15 , 20,17.5,"FullThrottle Labs
",4,0,1,0,0
Data Analytics,Employer Provided Salary:₹6L - ₹14L,"We are Indias leading political consulting organization, dedicated to providing high quality professional support for political campaigns. In this capacity, we have been fortunate to be a part of the momentous election campaigns of 2014, 2019 and various other state elections. Our work includes envisioning and executing innovative electioneering campaigns, facilitating capacity building of grassroots cadre and shaping governance. We add professional aspects to the strengths of the scores of grassroots workers and ensure optimal electoral results.
We are a diverse group of dedicated individuals including former management consultants, lawyers, engineers, political theorists, public policy professionals and other people from varied sectors from premier institutes and corporates, with the unified objective of meaningfully contributing to the polity of the nation.
Data plays an important role in the work that we do here at Nation with Namo. We are looking for a data analyst who is keen on solving problems from first principles and provides insights and actionables to the team.",4.3,"Nation with NaMo
4.3",Delhi,201 to 500 Employees,0,Colleges & Universities,Education,Unknown / Non-Applicable,-1,1,6 , 14,10.0,"Nation with NaMo
",0,0,1,0,0
Junior Data Scientist Mentor,Employer Provided Salary:₹3L - ₹5L,"Training the students in online learning
doubt solvings
software Installation help
Helping them one on one difficult topics
assignment review and grading
Managing studnet LMS and Portfolio
Helping senior trainers in batch management
Notes and Assignments forming
Documentation
Creating Ppts and notes for students
Interview preparation help to students
Overall Objective is to make learners successful",-1.0,Success Arrow,Pune,-1,-1,-1,-1,-1,-1,1,3 , 5,4.0,Success Arrow,-1,0,1,0,0
Data Science Training,Employer Provided Salary:₹10T - ₹45T,"We are providing Traning for Data Science. After the training we will hire the candidates as performance wise.
After the training we will providing experience certificates and also we will provide some certifications.
We are looking for freshers candidates.
Both Male and Female Candidates can apply.
Job Types: Fresher, Internship, Full-time, Part-time
Salary: ₹10,000.00 - ₹45,000.00 per month",-1.0,Oracuz Infotech Pvt Ltd,Thiruvananthapuram,-1,-1,-1,-1,-1,-1,1,10 , 45,27.5,Oracuz Infotech Pvt Ltd,-1,0,1,0,0
Data Science Intern,Employer Provided Salary:₹7T,"Learn data science
data science with python
daily new assignment
trainer will provide
Job Types: Full-time, Internship
Contract length: 2 months
Salary: From ₹7,000.00 per month
Schedule:",5.0,"Paarsh Infotech
5.0",Nashik,Unknown,0,Unknown / Non-Applicable,-1,-1,-1,1,7,7,7.0,"Paarsh Infotech
",0,1,1,0,0
Data scientist,₹2L - ₹5L (Glassdoor Est.),"Roles and responsibilities:
1. Data processing, cleaning and validating the integrity of data to be used for analytics

2. Data extraction using valuable data sources

3. Perform initial investigation and exploratory data analysis

4. Analyzing large amount of data to find patterns and solution

5. Build predictive machine learning models using alogorithms like regression, tree based, boosting etc

6. Develop econometric and statistical models for various problems including projections, classification, clustering, pattern analysis, sampling, simulations, and so forth.

7. Propose solutions and strategies to tackle complex business problems",4.4,"ICICI Prudential Life
4.4",Mumbai,10000+ Employees,2001,Private Practice / Firm,Insurance Carriers,Insurance,$10+ billion (USD),0,2 , 5 ,3.5,"ICICI Prudential Life
",21,0,1,0,0
"Data Engineer, Machine Learning",Employer Provided Salary:₹2L - ₹3L,"We are looking Only Freshers candidates. B tech/ BE( Computer science Only please) MCA, ME, M Tech.
Must knowledge about Python.
Don't Apply if you don't have these degree.
Job Type: Full-time
Salary: ₹240,000.00 - ₹320,000.00 per year
Schedule:
Day shift",-1.0,Predictive Research,Bangalore,-1,-1,-1,-1,-1,-1,1,2 , 3,2.5,Predictive Research,-1,1,1,0,0
Data Science Intern,Employer Provided Salary:₹5T,"Working on python, sql and making technical documentation
Working on projects and developing part
Co ordinating with cleints on technical queirs
Helping team in developing new contents in ML
working on clouds like GCP, AWS and Azure.
candidates must be quick learner
Job Types: Full-time, Regular / Permanent
Salary: From ₹5,000.00 per month
Schedule:",-1.0,prwatech technologies,Pune,-1,-1,-1,-1,-1,-1,1,5,5,5.0,prwatech technologies,-1,1,1,1,0
Data Scientist,Employer Provided Salary:₹692.31 - ₹923.08 Per Hour,"required data science faculty on urgent basis .Interested call on 8264865747 as soon as possible.
Job Types: Full-time, Part-time, Regular / Permanent, Freelance, Volunteer, Fresher
Salary: ₹600.00 - ₹800.00 per hour
Benefits:
Flexible schedule
Schedule:
Flexible shift",-1.0,Pioneer Academy,Ludhiana,-1,-1,-1,-1,-1,-1,1,692.31 , 923.08 ,807.6949999999999,Pioneer Academy,-1,0,1,0,0
Data Scientist,Employer Provided Salary:₹80T,"JD for Data Scientist Responsibilities & Skills · PhD in Statistics, Math or Computer Science is preferred. Must have at least a Master degree with 5+ years of experience. · Excellent statistical analysis skills to identify patterns in data. This includes having a keen sense of pattern detection and anomaly detection. · Excellent understanding of machine learning techniques and algorithms, such as k-NN, · Naive Bayes, SVM, Decision Forests, etc. · Must be able to implement algorithms and statistical concepts to build predictive models. · In-depth experience with common data science tools such as TensorFlow, PyTorch or equivalent. · Proficient in programming with python, SQL and No-SQL databases; and data science libraries such as nltk, numpy, scipy and many others · Communicate with global English speaking teams. · Expertise in collaborating with multi-disciplinary teams of business analysts, data scientists, subject matter experts, and developers For more information Contact HR Ranjini 7760520330
Job Type: Full-time",-1.0,Trovech Infotech Pvt Ltd,Bangalore,-1,-1,-1,-1,-1,-1,1,80,80,80.0,Trovech Infotech Pvt Ltd,-1,1,1,1,1
Data Science Intern,Employer Provided Salary:₹9T - ₹18T,"data science interns assist data scientists in collecting, analyzing, and interpret data sets to drive optimization and improvement of product development. As a part of the company's trainees, data science interns are required to provide help in developing custom data models and algorithms to apply to data sets.
Job Type: Full-time
Salary: ₹9,172.50 - ₹17,778.69 per month
Schedule:
Monday to Friday
Ability to commute/relocate:",-1.0,Tanishq Enterprises pvt ltd,Pune,Unknown,0,Unknown / Non-Applicable,-1,-1,-1,1,9 , 18,13.5,Tanishq Enterprises pvt ltd,0,0,1,0,0
Data Scientist Climate Analytics,₹8L - ₹24L (Glassdoor Est.),"The Role:
The person on this role will focus on study of climate change impact on agriculture / wind / wildfire risk as part of WTW’s Climate and Resilience Hub (CRH), including:
Development and assessment of climate change impacts on key climate perils such as wind and wildfire, as well as on the agricultural sector.
Evaluation of wind / wildfire hazard profiles from scientific research and vendor models
Development of in-house qualitative and quantitative risk assessment tools/methodologies
The person will also be providing high quality consulting and technical services to our corporate and financial sector clients across the world, collaborating with colleagues across global hubs.",3.9,"WTW
3.9",Thāne,10000+ Employees,1828,Company - Public,Business Consulting,Management & Consulting,$10+ billion (USD),0,8 , 24 ,16.0,"WTW
",194,0,1,0,0
Data scientist - Lead,₹2L - ₹5L (Glassdoor Est.),"Roles and responsibilities:
1. Data processing, cleaning and validating the integrity of data to be used for analytics

2. Data extraction using valuable data sources

3. Perform initial investigation and exploratory data analysis

4. Analyzing large amount of data to find patterns and solution

5. Build predictive machine learning models using alogorithms like regression, tree based, boosting etc

6. Develop econometric and statistical models for various problems including projections, classification, clustering, pattern analysis, sampling, simulations, and so forth.

7. Propose solutions and strategies to tackle complex business problems",4.4,"ICICI Prudential Life
4.4",Mumbai,10000+ Employees,2001,Private Practice / Firm,Insurance Carriers,Insurance,$10+ billion (USD),0,2 , 5 ,3.5,"ICICI Prudential Life
",21,0,1,0,0
Artificial Intelligence Internship,Employer Provided Salary:₹12T,"About Company: Evolve Robot Lab is the India's first robot innovation lab for Robotics Engineering & Artificial Intelligence Solution.
Robotics research company"", with the grand vision to improve the quality of life in the very part of India with various deep tech solutions.
Who we are: Robotics start-up with young creative team based out of Madras, Tamilnadu We are making affordable robotics product for both industrial & military application.
Our Edu-Tech training facilitate to inspire & educate the next 10 million young generation of innovators, engineers, scientist & artists in the field of Robotics.
Our specialization :",-1.0,Evolve robot Lab,India,-1,-1,-1,-1,-1,-1,1,12,12,12.0,Evolve robot Lab,-1,0,1,0,0
A&A -Data Scientist - AI POD,₹3L - ₹14L (Glassdoor Est.),"Data Scientist
As a Data Scientist, you will be supporting the Data Science group and actively participating in all the processes of a data science project, including exploratory data analysis, feature generation and selection, model creation, and model optimization to boost performance and accuracy. It is important that the person in this role is proactive and independent. You should be a problem solver with an open mind and an eagerness to pick up new skills ranging from deeper statistical analysis and better modeling skills to honing programming and communication skills.
Specifically, you will be expected to:
Apply data science practices on your specific assigned workstreams; particularly:
o Perform exploratory data analysis to understand relationships and opportunities to influence outcomes",4.1,"Deloitte
4.1",Bangalore,10000+ Employees,1850,Company - Private,Accounting & Tax,Finance,$10+ billion (USD),0,3 , 14 ,8.5,"Deloitte
",172,0,1,0,0
Data Science Analyst (New Grad) - India UHR,₹6L - ₹23L (Glassdoor Est.),"Job Description
In Cisco, we have an outstanding opportunity where we actually get to use the technology we build!
We are Innovators
We drive innovation to propel business transformation while maintaining operational quality.
We are Accelerators
We accelerate digital solutions to generate cost savings and efficiency gains for enterprise growth and
success.
We are Transformers
As customer zero, we transform the customer experience by being our own customer first with agility, quality, and security, we continuously deliver business outcomes for our clients.

Who You'll Work With

OneX Strategy & Planning, Business Insights team provides flexible and innovative ways to help meet customer needs while improving profitability for Cisco.
The team has specialized domains in 2 broad areas that function seamlessly to enable business outcomes through analytics for Cisco.",4.4,"Cisco Systems
4.4",Bangalore,10000+ Employees,1984,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),0,6 , 23 ,14.5,"Cisco Systems
",38,0,1,0,0
Data Scientist,Employer Provided Salary:₹80T,"Looking for a Machine Learning (ML) Engineer to help us create artificial intelligence products.
Machine Learning Engineer responsibilities include creating machine learning models and retraining systems. To do this job successfully, you need exceptional skills in statistics and programming. If you also have knowledge of data science and software engineering, we’d like to meet you. Your ultimate goal will be to shape and build efficient self-learning applications.
Responsibilities
Study and transform data science prototypes
Design machine learning systems
Research and implement appropriate ML algorithms and tools",-1.0,Niqx Informatics and Analysis Pvt Ltd,Mumbai,Unknown,0,Unknown / Non-Applicable,-1,-1,-1,1,80,80,80.0,Niqx Informatics and Analysis Pvt Ltd,0,0,1,0,0
